month,avg_price_real,avg_price_advertised,median_price_real,pct_on_discount,pct_discount_over_90d,median_discount_depth,price_sample_n
2026-03,8.30,12.93,6.40,0.5534,,0.5500,421
2026-04,8.20,12.92,6.40,0.5545,,0.5500,422
2026-05,8.08,12.98,6.00,0.5516,,0.6000,426
2026-06,7.81,12.90,5.99,0.5815,0.4879,0.6000,497
2026-07,8.19,12.76,6.30,0.5645,0.4714,0.5000,496
